,round,accuracy,alpha,repetition,alpha_norm
13,13,0.5116,10,0,1.0
14,14,0.5084,10,0,1.0
15,15,0.5105,10,0,1.0
16,16,0.5064,10,0,1.0
17,17,0.5078,10,0,1.0
18,18,0.5057,10,0,1.0
19,19,0.5011,10,0,1.0
20,20,0.4999,10,0,1.0
21,21,0.4992,10,0,1.0
22,22,0.4998,10,0,1.0
23,23,0.4925,10,0,1.0
24,24,0.4941,10,0,1.0
25,25,0.4875,10,0,1.0
26,26,0.4878,10,0,1.0
27,27,0.4859,10,0,1.0
28,28,0.4855,10,0,1.0
29,29,0.4855,10,0,1.0
30,30,0.4851,10,0,1.0
31,31,0.4814,10,0,1.0
32,32,0.4808,10,0,1.0
33,33,0.4768,10,0,1.0
34,34,0.4734,10,0,1.0
35,35,0.4742,10,0,1.0
36,36,0.478,10,0,1.0
37,37,0.4744,10,0,1.0
38,38,0.4768,10,0,1.0
39,39,0.4735,10,0,1.0
40,40,0.4727,10,0,1.0
0,0,0.0456,10,9,1.0
1,1,0.1601,10,9,1.0
2,2,0.333,10,9,1.0
3,3,0.3975,10,9,1.0
4,4,0.4277,10,9,1.0
5,5,0.4562,10,9,1.0
6,6,0.4716,10,9,1.0
7,7,0.4862,10,9,1.0
8,8,0.4902,10,9,1.0
9,9,0.4985,10,9,1.0
10,10,0.5029,10,9,1.0
11,11,0.5079,10,9,1.0
12,12,0.5129,10,9,1.0
13,13,0.5099,10,9,1.0
14,14,0.5158,10,9,1.0
15,15,0.51,10,9,1.0
16,16,0.5123,10,9,1.0
17,17,0.5062,10,9,1.0
18,18,0.5042,10,9,1.0
19,19,0.5084,10,9,1.0
20,20,0.5044,10,9,1.0
21,21,0.5039,10,9,1.0
22,22,0.5021,10,9,1.0
23,23,0.4997,10,9,1.0
24,24,0.499,10,9,1.0
25,25,0.4988,10,9,1.0
26,26,0.4944,10,9,1.0
27,27,0.4923,10,9,1.0
28,28,0.4916,10,9,1.0
29,29,0.4921,10,9,1.0
